Ativo,Ano Fundacao,Ano IPO,Valor Mercado,Setor,Segmento,Idade,Tempo em Bolsa,Peso Participacao
MGLU3,1957,2011,6399698000,Consumo Cíclico,Eletrodomésticos,68,14,0.172
AZZA3,1972,2011,5054870000,Consumo Cíclico,"Tecidos, Vestuário e Calçados",53,14,0.16
YDUQ3,2007,2007,3590483000,Consumo Cíclico,Serviços Educacionais,18,18,0.155
BRKM5,1972,1978,6931882000,Materiais Básicos,Petroquímicos,53,47,0.14
USIM5,1954,1994,7984035000,Materiais Básicos,Siderurgia,71,31,0.14
SMTO3,1943,2007,6336218000,Consumo não Cíclico,Açucar e Alcool,82,18,0.127
VIVA3,1962,2019,4487757000,Consumo Cíclico,Acessórios,63,6,0.119
AURE3,2022,2022,7825315000,Utilidade Pública,Energia Elétrica,3,3,0.115
RAIZ4,2021,2021,17185165000,Consumo não Cíclico,Açucar e Alcool,4,4,0.106
VAMO3,2015,2021,4378181000,Bens Industriais,Material de Transporte,10,4,0.102
MRVE3,2006,2007,2589002000,Consumo Cíclico,Incorporações,19,18,0.092
BEEF3,1992,2007,3795521000,Consumo não Cíclico,Carnes e Derivados,33,18,0.079
PCAR3,1981,1995,1490138000,Consumo não Cíclico,Alimentos,44,30,0.068
PETZ3,2013,2020,1776090000,Consumo não Cíclico,Produtos Diversos,12,5,0.058
CVCB3,2009,2013,1035414000,Consumo Cíclico,Viagens e Turismo,16,12,0.053
AZUL4,2008,2017,986716000,Bens Industriais,Transporte Aéreo,17,8,0.051
LWSA3,1997,2020,1502906000,Tecnologia da Informação,Programas e Serviços,28,5,0.05
AMOB3,2024,2024,454632000,Consumo Cíclico,Automóveis e Motocicletas,1,1,0.006
